model,scenario,variable,filename,version,year,path
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1973.nc,1,1973,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1973.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1974.nc,1,1974,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1974.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1975.nc,1,1975,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1975.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1976.nc,1,1976,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1976.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1977.nc,1,1977,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1977.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1978.nc,1,1978,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1978.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1979.nc,1,1979,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1979.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1980.nc,1,1980,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1980.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1981.nc,1,1981,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1981.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1982.nc,1,1982,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1982.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1983.nc,1,1983,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1983.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1984.nc,1,1984,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1984.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1985.nc,1,1985,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1985.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1986.nc,1,1986,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1986.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1987.nc,1,1987,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1987.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1988.nc,1,1988,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1988.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1989.nc,1,1989,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1989.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1990.nc,1,1990,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1990.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1991.nc,1,1991,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1991.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1992.nc,1,1992,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1992.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1993.nc,1,1993,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1993.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1994.nc,1,1994,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1994.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1995.nc,1,1995,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1995.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1996.nc,1,1996,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1996.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1997.nc,1,1997,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1997.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1998.nc,1,1998,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1998.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1999.nc,1,1999,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1999.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2000.nc,1,2000,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2000.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2001.nc,1,2001,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2001.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2002.nc,1,2002,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2002.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2003.nc,1,2003,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2003.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2004.nc,1,2004,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2004.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2005.nc,1,2005,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2005.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2006.nc,1,2006,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2006.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2007.nc,1,2007,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2007.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2008.nc,1,2008,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2008.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2009.nc,1,2009,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2009.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2010.nc,1,2010,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2010.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2011.nc,1,2011,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2011.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2012.nc,1,2012,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2012.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2013.nc,1,2013,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2013.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2014.nc,1,2014,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_2014.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950.nc,1,1950,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951.nc,1,1951,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952.nc,1,1952,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953.nc,1,1953,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954.nc,1,1954,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1955.nc,1,1955,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1955.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1956.nc,1,1956,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1956.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1957.nc,1,1957,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1957.nc
ACCESS-CM2,historical,rlds,rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1958.nc,1,1958,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/rlds/rlds_day_ACCESS-CM2_historical_r1i1p1f1_gn_1958.nc
